bucket_id,bucket_min,bucket_max,seed_rank,dataset_idx,genotype,fitness,sampling_seed
B5,1.2,1.5,10,8114,FLQLXRfFLfFCCCXCMLLLLMLXFXqXmLLLLMX,1.2302083,20260607
B5,1.2,1.5,11,5242,"Lf(MqfqLXLLcfLLccXLMXrqXfX,CcMX)",1.4002428,20260607
B5,1.2,1.5,12,10080,"LL(LcmXmcFmXrMQLL(rcLX),CfLCLMMXrrMFLCXXLFXLMXqqmLX)",1.2465432,20260607
B5,1.2,1.5,13,6951,"LMqLXFL(mf(LXLXCqCfXRLLmXFmLLX),R(mLX))",1.3180987,20260607
B5,1.2,1.5,14,5357,"FXL(LXrqCXCLXcF(CQQXMXLX),mXMX)",1.2275702,20260607
B5,1.2,1.5,15,1352,"XLXCFL(LLMLXmLcLcQXMMXXXlLX(XcLX),CQX)",1.2003619,20260607
B5,1.2,1.5,16,1012,"mFLXLL(FLLMXrqLCMXCFXrLqLXrLQcLX,fqX)",1.2885799,20260607
B5,1.2,1.5,17,10816,"FXLLL((LXXQqCqMXmCX(LfLLLXFLLLQX),mLX))",1.4840222,20260607
B5,1.2,1.5,18,9471,"L(FLLLX,mcLCmLCXFCfmQLCQXLMmLCLLXLfXRRmQFQQXrffX)",1.4441102,20260607
B5,1.2,1.5,19,8126,CLF(RFmMXcLqmXccqLLXLcFXMLmXmLXRLcXLXLLLqQX),1.3171859,20260607
B5,1.2,1.5,20,9539,"LLLfccMM(M(,,RRXrqLLX,LqmXLMcXfmXQMXF(rLcFCX),))",1.2993995,20260607
B5,1.2,1.5,21,1520,"L(MLmXCQLLCQXCLLXLfLfXrXFcX,X)",1.4530285,20260607
B5,1.2,1.5,22,6841,"LQL(cX,XXcFLXXLXFLX,XLX)",1.2448597,20260607
B5,1.2,1.5,23,1103,RLfLQLXLQLLqCCmLXFLFXCmmMqXRXLXMX,1.3468134,20260607
B5,1.2,1.5,24,7106,"(mM(LXLQQQ(QXL(RFLXFMffX,CRXQX,),FQmX),(X)),)",1.2516032,20260607
B5,1.2,1.5,25,4407,"LLXfX(fXFQX,,XRRccXXXMLXFLX)",1.2113286,20260607
B6,1.5,,1,1013,"LLM(fXLCQCLQffLXFLCLXLLXMXRRqcLmLLLLX,X)",1.528254,20260607
B6,1.5,,2,7626,"cLcL(rqLXLcLLXLXfXCfX,QcMXRRfX,)",1.5080342,20260607
B6,1.5,,3,1596,"L(rrXqLL(rXFXcmXQXMXrFLXrLX,FqLqMX),LX)",1.5972624,20260607
B6,1.5,,4,9556,"(L((rLLrLXLFf(cFLcLLXrLXfX(LqmLCCCX))),f(LQX),))",1.7535658,20260607
B6,1.5,,5,5399,"LL(mX,LqLqXccLLXXmXCXX,MX)",1.5510506,20260607
B6,1.5,,6,1792,"LLML(f(RRlmcXFXLXmLXcLLMmXrLQmLX),X,RFmqX)",1.7102038,20260607
B6,1.5,,7,9266,"LLFXf(LXLQLXLXcXLXQLXrFFQXRLLLL(CX,mMX),X)",1.8467839,20260607
B6,1.5,,8,6893,"rMLm(LM(rX,mfX),,rXLL(XLFXLXLX,rLX))",2.0106992,20260607
B6,1.5,,9,10029,LLff(CCmLXRLMQFCCCXLfLCXrFqFqfmqlXLXLLX),1.5111141,20260607
B6,1.5,,10,4331,"C(,F(rLLMqX(L(cXMXLcCXX),)),RLQX)",1.6435573,20260607
B6,1.5,,11,9514,"LL(,,RRCXLLCfLXfLLXCXMqLmq(ccX),(,X))",1.670618,20260607
B6,1.5,,12,1231,"LLCcf(fLX,rrcXrLLLcQLmXMLLfLXLfX(L((LRfMCFCX))))",1.9102615,20260607
B6,1.5,,13,10859,"cfLLm((m((X))),CCLCmXFX,RLLfCCLCQLXLLCXf((rqLqXXq(fCfXMX))))",1.5545429,20260607
B6,1.5,,14,9643,"LcL(R(qX),LXqqLLfccqXcLLfLXqXLqLCXrLqLX)",1.541613,20260607
B6,1.5,,15,1854,"mqLqLLL(,(rLX,),LLccqLFXRLcLmmmXrLMMmXrrMMXLqmLX)",1.7693569,20260607
B6,1.5,,16,10877,"L(mL(RRfLMCLXCXLLLLLXLX(LLmX,)),FqLLX)",1.7509918,20260607
B6,1.5,,17,6750,"LM(RRmLCLfXLCXLXFLLXML(rrLX),X)",1.6496734,20260607
B6,1.5,,18,5838,"LQ(,RLXLm(LX,XXqqLMLFXX),LXX)",1.7601595,20260607
B6,1.5,,19,7514,"LL((FX),rrMmcXLLcXLXfmXQ(rFcX))",1.5759553,20260607
B6,1.5,,20,6020,"L(rrLLXLLccLXXXRCCX,X,,)",1.5686962,20260607
B6,1.5,,21,7121,"LXRLf(LQXM(XMqmQcX,rLqXCXcXRLLX),LLX)",1.5562462,20260607
B6,1.5,,22,7047,"LMMmXLXL(X,rMqXLfL(LXmLXrfXRFQX,FLLQX))",1.7574272,20260607
B6,1.5,,23,9809,"(RLL((LLQLX(LLL(X,LXLLMLXRL(mLXRX))),FX,),),rf(mlLX))",2.1293256,20260607
B6,1.5,,24,10783,"MLl(rrCLLCXFMcLLML(LXFLLLLLLXLLmX,),F(RLLLCLX))",1.5960905,20260607
B6,1.5,,25,8190,"LL(RcLQQX,rrLCMccLXLmLmLLLcXLLLXRMMXX)",1.749934,20260607
